produto_id,nome,categoria,preco_unitario
154817509,TARTE FRUTOS BOSQUE UN 1300GR,Alimentos,25.0
154817514,PROFITEROLES NATA SACO 8x500GR,Alimentos,3.95
154817529,CHAMUÇAS FRANGO GR AV CX 50 UN QF,Carnes,0.54
154817569,ROLINHOS QUEIJO/FIAMBRE GR AV CX 50 UNID MIAS,Lacticínios,0.69
154817604,CREPES PRIMAVERA GR. CX4.5KG,Alimentos,3.99
154817684,PASTEIS BACALHAU GR AV CX 50 UN (2X25) SP,Peixe,0.49
154817689,CHAMUÇAS VEGETAIS  MINI AV,Alimentos,0.36
154817714,NUGGETS FRANGO (CX3UNX1KG),Carnes,4.49
154817719,RISSOIS CAMARÃO GR AV CX 50 UN (2X25) SP,Frutos do Mar,0.45
154817729,CROQUETES CARNE GR AV. CX 50UN (2X25) SP,Carnes,0.47
154817759,RISSÓIS CAMARÃO MINI AV CX 200UN (4X50) SP,Frutos do Mar,0.18
154817764,ROLINHOS SALSICHA GR AV CX (2x25) 50UN,Sal,0.49
154817779,PASTEIS BACALHAU MINIS AV CX200 UN (4X50) SP,Peixe,0.19
154817799,RISSOIS DE LEITÃO GR AV CX 50UN (2X25) SP,Alimentos,0.68
154817814,CROQUETES CARNE MINIS AV CX200 UN (4X50) SP,Carnes,0.18
154817839,COXAS DE FRANGO MINIS AV CX 200UN (2x100),Carnes,0.29
154817844,CHAMUÇAS FRANGO MINI AV CX 200UN (4X50) SP,Carnes,0.24
154817849,BOLINHAS ALHEIRA 35GR CX 100UN,Alimentos,0.45
154817854,COXAS FRANGO GRANEL CX 50 UN,Carnes,0.8
154817909,MIOLO CAMARAO 10/20 10X0.800GR PLE,Alimentos,10.40705964641462
154817924,PASTA SAPATEIRA BR/CAST COVETE 20X454GR,Alimentos,9.95
154817949,CAMARÃO C/C 40/50 VANAMEI  CX 10X2KG,Frutos do Mar,60.53976171628951
154817954,CAMARÃO S/C 36/40 VAN CAIXA 10X2KG PL,Frutos do Mar,6.55
154817964,MIOLO MEXILHÃO  COZ. 100/200 SACO 6X1KG PL,Alimentos,4.95
154817969,MIOLO MEXILHÃO 200/300 SACO 8X1KG,Alimentos,98.70309042895191
154817974,CAMARÃO 60/80 MAD. CX 6X2KG,Frutos do Mar,22.743651889944616
154817994,CAMARÃO TG U/5 SEN.  SELVAGEM CX 9X2KG,Frutos do Mar,14.752445851468105
154818009,MIOLO AMEIJOA  COZIDO 1000/UP 10X1KG,Alimentos,18.91694801267709
154818059,CAPRICHOS DO ALASKA  CX 6X1 KG,Alimentos,4.49
154818069,LAVAGANTE CRÚ 400/600 IRL. CX6KG,Alimentos,61.448383526313194
154818089,PASTA SAPATEIRA CAST COV 20 X 500GR,Alimentos,59.1254048363873
154818124,CAMARÃO Nº4 40/60 CONG. SENEGAL  9X2 KG,Frutos do Mar,9.1
154818129,CAMARÃO Nº 3 30/40 CONG. SEN 9X2 KG,Frutos do Mar,13.5
154818139,CAMARÃO BLACK TIGER 16/20 10X800 GR PLE,Frutos do Mar,53.688567425343194
154818164,DELICIAS DO MAR  24X250GR,Alimentos,2.95
154818189,CAMARÃO BLACK TIGER 21/30,Frutos do Mar,23.90634973943885
154818194,CAMARÃO S/C 41/50 VAN CAIXA 10X2KG PL,Frutos do Mar,6.25
154818199,CAMARÃO S/C 51/60 VAN CAIXA 10X2KG PL,Frutos do Mar,29.504249848308525
154818209,CAMARÃO S/C 31/35 VAN CAIXA 6X2KG PL,Frutos do Mar,6.85
154818214,CARABINEIROS  B0  (6/8) MARROCOS 6X+-2KG PV,Alimentos,45.83419195953052
154818244,CAMARÃO S/C 26/30 VAN CAIXA 10X2KG PL,Frutos do Mar,6.95
154818269,AMEIJOA CASTANHA 60/90 10X800GR PLE,Alimentos,2.85
154818274,CAMARAO S/C 21/25 VAN CX 10X2KG PL,Alimentos,8.59
154818299,CAMARAO TG 4/7 SELV. AV. CX 10 KG PL,Alimentos,19.9
154818304,RABOS DE LAGOSTA CRUA CX4.54KG,Alimentos,31.78147202208713
154818309,CAMARÃO Nº 5 60/80 SENEGAL 9x2 KG,Frutos do Mar,47.7005782709903
154818314,LINGUEIRÃO (NAVALHA) HOL. CX5KG,Alimentos,5.62
154818334,CAMARÃO Nº 7 100/120  CONG. SEN. 9X2KG,Frutos do Mar,6.0
154818354,MIOLO CAMARAO SELVAGEM 16/20 CX 6KG AVULSO PL,Alimentos,10.5
154818359,CAMARÃO Nº6 80/100 CONG. SEN. 9X2KG,Frutos do Mar,9.489948620186535
